,Name,avg_yearly_returns,yearly_variance
394,RF,0.171298085336781,0.0455305496433727
395,RHI,0.09304556120600031,0.039416805646848865
396,RHT,0.17884510033737602,0.08692597406230493
397,RJF,0.12561509590623465,0.011634137692669829
398,RL,-0.057898704450899445,0.039125880954041556
399,RMD,0.13807005238319545,0.019614524351160834
400,ROK,0.14974186835023384,0.055760014331355676
401,ROP,0.15246059859101893,0.022446024006359477
402,ROST,0.1754879926331777,0.012686588943951128
403,RRC,-0.17794692041384622,0.14444538378575836
404,RSG,0.13900260105312248,0.015533408726411601
405,RTN,0.26331546170206743,0.04627258841807215
406,SBAC,0.17357270699808722,0.05472912356207178
407,SBUX,0.13805049520852983,0.054408391144632626
408,SCG,-0.009281558571355146,0.06776443753777782
409,SCHW,0.2141969259106671,0.0313281131776778
410,SEE,0.17889057728644087,0.09638777336484855
411,SHW,0.18362149847508435,0.055708637354090415
412,SIG,0.01812950855801908,0.14821210429130593
413,SJM,0.05681586005832498,0.012309438173390813
414,SLB,-0.007291743495468507,0.028576069090429312
415,SLG,0.030243963740423634,0.022918314128393624
416,SNA,0.15128862884513894,0.03370346270794299
417,SNI,0.09520089348935451,0.07422260877834427
418,SNPS,0.17428259578182484,0.028770149595893513
419,SO,0.0037871519146041887,0.01148748859540728
420,SPG,-0.0028641404360937317,0.012521310989847522
421,SPGI,0.29668955040296074,0.08962324732487731
422,SRCL,-0.029220805485656417,0.03940759179720177
423,SRE,0.06369105985083374,0.021232781589358124
424,STI,0.1601794577614012,0.013465082736802136
425,STT,0.11626241077436818,0.027771045619983236
426,STX,0.11127112856201127,0.11562066242298555
427,STZ,0.427937645908338,0.19973821878088027
428,SWK,0.14191796980994123,0.032317633619260454
429,SWKS,0.3538308570029338,0.3647701914229956
430,SYF,0.06193149527230393,0.010931363865246064
431,SYK,0.16823933839673624,0.02270363196238286
432,SYMC,0.04062005067134986,0.019333254133710474
433,SYY,0.11266019882868118,0.01929896938424556
434,T,0.011683200329489952,0.014840471669156478
435,TAP,0.1115220590824448,0.04154563889823152
436,TDG,0.12482200558369949,0.00344420212306771
437,TEL,0.17312227209916875,0.02551488889779508
438,TGT,0.03009150991573044,0.011528959675053092
439,TIF,0.1165810720651212,0.0726760693197128
440,TJX,0.09904421657137785,0.023075500257182
441,TMK,0.15677920795698472,0.03577288102536498
442,TMO,0.19908645877064335,0.03404498622716264
443,TPR,0.028514937306174867,0.048318219605170035
444,TRIP,0.046663925879836,0.18123273221443653
445,TROW,0.07849612071845785,0.032489374627257914
446,TRV,0.10439821113268544,0.0022881009893376014
447,TSCO,0.06353247137115685,0.05203728094118922
448,TSN,0.21899131429892274,0.031221579821141786
449,TSS,0.26360569611110446,0.06695046621371195
450,TWX,0.13558905794309686,0.07726112672629716
451,TXN,0.2189698075966784,0.033829650356973065
452,TXT,0.1268638648891969,0.010927370015116565
453,UA,-0.28704820463159975,0.07249969681034676
454,UAA,0.10033183213305365,0.23300120814557826
455,UAL,0.21004228111811132,0.13478881353817726
456,UDR,0.07134367630951417,0.0273621759329722
457,UHS,0.14265126697497743,0.04279063017408424
458,ULTA,0.16439563936556276,0.06341784573563057
459,UNH,0.2641168960908817,0.020348958115131623
460,UNM,0.15367609730771012,0.0554356071374134
461,UNP,0.15425868544263166,0.08532583579279265
462,UPS,0.06314177118211352,0.025250494017535173
463,URI,0.2649969343040871,0.11815715268653385
464,USB,0.09206362283683082,0.013038471367394286
465,UTX,0.07734716599207528,0.0224205506537365
466,V,0.21563949121794027,0.03226949048449315
467,VAR,0.08893628586282702,0.009872340251150167
468,VFC,0.17616578030706734,0.10700296942547075
469,VIAB,-0.06461848391490256,0.09327719636467582
470,VLO,0.13112701327661883,0.03908232644318692
471,VMC,0.15899331859458946,0.033052812786693676
472,VNO,-0.0191994015336399,0.04354775781296797
473,VRSK,0.10312979936002625,0.01098943566034433
474,VRSN,0.19027080440605648,0.0858656759231942
475,VRTX,0.32060356516386573,0.2650504303688348
476,VTR,-0.02280440601544334,0.0318689576308719
